Land status,Region ,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
In conversion land area thousand hectares,North East,15.3,6.8,4.6,6.6,6.9,4.8,9.8,6.5,4,2.9,2.7,1,0.8
In conversion land area Thousand hectares,North West,7.7,2.6,2.5,3.2,1.8,3.3,3.8,3.4,2.4,1.4,1.1,0.9,0.6
In conversion land area Thousand hectares,Yorkshire & Humberside,2.3,1.7,1.3,2.3,3.4,4.1,3.8,2.7,0.9,0.7,0.6,0.5,0.6
In conversion land area Thousand hectares,East Midlands,2.9,1.6,1.2,2.4,2.1,3.1,3.7,3.1,1,0.5,0.6,0.7,0.9
In conversion land area Thousand hectares,West Midlands,6,3.7,2.4,3.2,4,5.7,8.2,5.7,2.1,1.8,1.4,0.8,1.2
In conversion land area Thousand hectares,Eastern,4.1,3,2.4,2.6,3.6,5.3,4.8,4.1,1.4,1,0.7,0.7,0.5
In conversion land area Thousand hectares,South East (inc. London),11.5,6.5,5.4,10.7,13.2,14.6,10.4,7.3,4.3,3.7,3.1,3,1.9
In conversion land area Thousand hectares,South West,18,10.8,9.1,22,31.6,48.2,46.5,34.7,13.6,13.5,8.9,6.3,6.1
In conversion land area Thousand hectares,Wales,13.7,8,8.6,12.8,15.4,30.9,49.5,36.8,4,2.4,1.5,1.9,4.1
In conversion land area Thousand hectares,Scotland,121.3,20.4,13.7,16.7,35.2,34.8,6.2,12,12.6,5.1,8,8.4,3
In conversion land area Thousand hectares,Northern Ireland,1.5,0.8,1.6,3.2,4,3.2,2.3,3,4.4,4,3.6,0.1,0.2
Fully organic land area  thousand hectares,North East,12.4,20.5,25.3,29.3,22.6,25.8,25.6,26.8,30.6,28.1,27.3,26.9,26.3
Fully organic land area  thousand hectares,North West,15.1,19.9,19.8,18.9,19.4,20.4,21.2,19.8,20,16.4,15.5,14,13.6
Fully organic land area  thousand hectares,Yorkshire & Humberside,7,8.1,8.6,9,9,9.6,10.9,11.9,13.8,12.5,9.9,10.2,10.1
Fully organic land area  thousand hectares,East Midlands,12,16.1,13.4,13.2,12.5,13.2,12.2,14.4,16.3,15.2,15.5,14.1,13.7
Fully organic land area  thousand hectares,West Midlands,23.4,25.5,26.8,27,26.3,28.2,29.7,32,35.4,28.9,30.6,30.8,29.3
Fully organic land area  thousand hectares,Eastern,7.8,9.7,10.3,11.8,10.8,12.7,13.2,14.2,17.3,15.8,14.1,14.1,13.8
Fully organic land area  thousand hectares,South East (inc. London),28.3,34.3,34.9,35.2,35.8,42.5,47.2,51.6,54.1,51.4,46.5,48.1,45.6
Fully organic land area  thousand hectares,South West,78.1,86.2,90.5,94,93.4,106.3,123.9,140.4,174.6,157.2,145.5,144.2,143.1
Fully organic land area  thousand hectares,Wales,41.4,50.2,55.6,58,63.5,65.1,75.1,88.6,118.8,120.4,118.4,100,91.6
Fully organic land area  thousand hectares,Scotland,307.3,351.9,331.6,231.2,200.1,193.1,225.1,209.3,176.3,164.8,143.7,140,132.9
Fully organic land area  thousand hectares,Northern Ireland,4.1,6.6,5,6.3,5.1,7.3,10.1,10.3,10.4,8.3,6.6,9.3,8.8
Total fully organic and in conversion land area thousands hectares,North East,27.7,27.3,29.9,35.9,29.5,30.6,35.4,33.3,34.6,31.1,30,27.9,27.1
Total fully organic and in conversion land area thousands hectares,North West,22.8,22.5,22.3,22.1,21.2,23.7,25,23.2,22.4,17.8,16.6,14.9,14.2
Total fully organic and in conversion land area thousands hectares,Yorkshire & Humberside,9.2,9.8,9.8,11.3,12.4,13.7,14.7,14.6,14.6,13.2,10.5,10.7,10.8
Total fully organic and in conversion land area thousands hectares,East Midlands,14.9,17.7,14.6,15.6,14.5,16.3,16,17.6,17.3,15.7,16.1,14.8,14.6
Total fully organic and in conversion land area thousands hectares,West Midlands,29.4,29.2,29.1,30.2,30.3,33.9,37.9,37.7,37.5,30.7,31.9,31.6,30.5
Total fully organic and in conversion land area thousands hectares,Eastern,11.9,12.6,12.7,14.4,14.4,18,18,18.4,18.7,16.7,14.8,14.9,14.3
Total fully organic and in conversion land area thousands hectares,South East (inc. London),39.8,40.8,40.3,46,49,57.1,57.6,58.9,58.4,55.1,49.6,51.1,47.5
Total fully organic and in conversion land area thousands hectares,South West,96.1,97.1,99.6,116,125,154.5,170.5,175.1,188.2,170.7,154.4,150.4,149.2
Total fully organic and in conversion land area thousands hectares,Wales,55.1,58.3,64.2,70.8,79,96,124.6,125.4,122.9,122.7,119.9,101.9,95.7
Total fully organic and in conversion land area thousands hectares,Scotland,428.6,372.3,345.3,247.9,235.3,227.9,231.3,221.3,188.9,169.9,151.7,148.4,135.8
Total fully organic and in conversion land area thousands hectares,Northern Ireland,5.6,7.5,6.6,9.5,9.1,10.5,12.5,13.3,14.8,12.3,10.1,9.4,9
#### Land area farmed organically####,,,,,,,,,,,,,,
