year,percentage_solved,percentage_passion,percentage_gang
1980,64.03899721448468,13.676880222841225,3.788300835654596
1981,79.30675909878683,24.714038128249566,5.476603119584055
1982,72.04301075268818,21.975806451612904,5.006720430107527
1983,70.3886925795053,25.4416961130742,5.618374558303887
1984,67.86703601108033,23.99584487534626,5.921052631578947
1985,70.19423978566644,27.729403884795712,7.166778298727394
1986,67.08588957055215,28.588957055214724,8.282208588957054
1987,65.19267214150346,31.617182564750472,10.138976626658245
1988,73.52472089314195,27.814992025518343,10.11164274322169
1989,75.41031652989449,29.51348182883939,15.504103165298943
1990,70.6628689798032,23.433454168824444,16.649404453650956
1991,62.759286058851906,21.394114809454894,17.824409068982153
1992,61.50178784266984,22.073897497020262,17.854588796185936
1993,62.4628061341268,20.11902037079423,19.226367589837494
1994,64.18475517415446,18.248359414437154,22.31196365471984
1995,60.39893617021277,18.05851063829787,22.97872340425532
1996,61.6252821670429,17.736214124475975,20.090293453724605
1997,56.6895059502344,17.345834835917778,19.581680490443564
1998,63.45091372715682,19.039524011899704,17.16957076073098
1999,59.61538461538461,19.934333958724203,18.76172607879925
2000,61.78458765209554,18.11626858945471,22.667868409193332
2001,61.09461179465422,16.758591429783625,27.322868052609252
2002,61.71047469595919,16.320125539427227,28.677912907022364
2003,58.24303405572755,15.944272445820435,25.81269349845201
2004,58.53468433359315,14.302416212003118,25.759937646141857
2005,59.14749151263674,13.278008298755188,21.42587702753678
2006,58.02189505473764,13.09928274820687,24.462061155152888
2007,53.03092783505154,13.608247422680412,19.175257731958766
2008,52.427637721755374,15.31279178338002,22.08216619981326
2009,58.724202626641656,15.75984990619137,26.26641651031895
2010,57.54620123203286,17.299794661190965,23.97330595482546
2011,59.39927498705334,17.19316416364578,20.196789228379078
2012,58.81778212017586,15.437225207620909,19.63849535906204
2013,56.11398963730569,14.922279792746112,19.170984455958546
2014,58.38675213675214,16.666666666666664,16.88034188034188
2015,58.05977462028417,16.511513963743262,16.070553650171483
2016,55.43842836607571,15.71633924293244,17.920459990416866
